NAME           PROPERTY              VALUE                  SOURCE
oi_iscsi_test  type                  filesystem             -
oi_iscsi_test  creation              Mon Aug 24  6:41 2026  -
oi_iscsi_test  used                  178K                   -
oi_iscsi_test  available             831M                   -
oi_iscsi_test  referenced            66.5K                  -
oi_iscsi_test  compressratio         1.00x                  -
oi_iscsi_test  mounted               yes                    -
oi_iscsi_test  quota                 none                   default
oi_iscsi_test  reservation           none                   default
oi_iscsi_test  recordsize            128K                   default
oi_iscsi_test  mountpoint            /oi_iscsi_test         default
oi_iscsi_test  sharenfs              off                    default
oi_iscsi_test  checksum              on                     default
oi_iscsi_test  compression           off                    default
oi_iscsi_test  atime                 on                     default
oi_iscsi_test  devices               on                     default
oi_iscsi_test  exec                  on                     default
oi_iscsi_test  setuid                on                     default
oi_iscsi_test  readonly              off                    default
oi_iscsi_test  zoned                 off                    default
oi_iscsi_test  snapdir               hidden                 default
oi_iscsi_test  aclmode               discard                default
oi_iscsi_test  aclinherit            restricted             default
oi_iscsi_test  createtxg             1                      -
oi_iscsi_test  canmount              on                     default
oi_iscsi_test  xattr                 on                     default
oi_iscsi_test  copies                1                      default
oi_iscsi_test  version               5                      -
oi_iscsi_test  utf8only              off                    -
oi_iscsi_test  normalization         none                   -
oi_iscsi_test  casesensitivity       sensitive              -
oi_iscsi_test  vscan                 off                    default
oi_iscsi_test  nbmand                off                    default
oi_iscsi_test  sharesmb              off                    default
oi_iscsi_test  refquota              none                   default
oi_iscsi_test  refreservation        none                   default
oi_iscsi_test  guid                  12899302395043454607   -
oi_iscsi_test  primarycache          all                    default
oi_iscsi_test  secondarycache        all                    default
oi_iscsi_test  usedbysnapshots       0                      -
oi_iscsi_test  usedbydataset         66.5K                  -
oi_iscsi_test  usedbychildren        111K                   -
oi_iscsi_test  usedbyrefreservation  0                      -
oi_iscsi_test  logbias               latency                default
oi_iscsi_test  dedup                 off                    default
oi_iscsi_test  mlslabel              none                   default
oi_iscsi_test  sync                  standard               default
oi_iscsi_test  dnodesize             legacy                 default
oi_iscsi_test  refcompressratio      1.00x                  -
oi_iscsi_test  written               66.5K                  -
oi_iscsi_test  logicalused           70.5K                  -
oi_iscsi_test  logicalreferenced     33.5K                  -
oi_iscsi_test  filesystem_limit      none                   default
oi_iscsi_test  snapshot_limit        none                   default
oi_iscsi_test  filesystem_count      none                   default
oi_iscsi_test  snapshot_count        none                   default
oi_iscsi_test  redundant_metadata    all                    default
oi_iscsi_test  special_small_blocks  0                      default
oi_iscsi_test  encryption            off                    default
oi_iscsi_test  keylocation           none                   default
oi_iscsi_test  keyformat             none                   default
oi_iscsi_test  pbkdf2iters           0                      default
