NAME           PROPERTY                       VALUE                          SOURCE
oi_iscsi_test  size                           960M                           -
oi_iscsi_test  capacity                       0%                             -
oi_iscsi_test  altroot                        -                              default
oi_iscsi_test  health                         ONLINE                         -
oi_iscsi_test  guid                           8933003380300451724            default
oi_iscsi_test  version                        -                              default
oi_iscsi_test  bootfs                         -                              default
oi_iscsi_test  delegation                     on                             default
oi_iscsi_test  autoreplace                    off                            default
oi_iscsi_test  cachefile                      -                              default
oi_iscsi_test  failmode                       wait                           default
oi_iscsi_test  listsnapshots                  off                            default
oi_iscsi_test  autoexpand                     off                            default
oi_iscsi_test  dedupditto                     0                              default
oi_iscsi_test  dedupratio                     1.00x                          -
oi_iscsi_test  free                           959M                           -
oi_iscsi_test  allocated                      722K                           -
oi_iscsi_test  readonly                       off                            -
oi_iscsi_test  comment                        -                              default
oi_iscsi_test  expandsize                     -                              -
oi_iscsi_test  freeing                        0                              default
oi_iscsi_test  fragmentation                  -                              -
oi_iscsi_test  leaked                         0                              default
oi_iscsi_test  bootsize                       -                              default
oi_iscsi_test  checkpoint                     -                              -
oi_iscsi_test  multihost                      off                            default
oi_iscsi_test  ashift                         0                              default
oi_iscsi_test  autotrim                       off                            default
oi_iscsi_test  feature@async_destroy          disabled                       local
oi_iscsi_test  feature@empty_bpobj            disabled                       local
oi_iscsi_test  feature@lz4_compress           disabled                       local
oi_iscsi_test  feature@multi_vdev_crash_dump  disabled                       local
oi_iscsi_test  feature@spacemap_histogram     disabled                       local
oi_iscsi_test  feature@enabled_txg            disabled                       local
oi_iscsi_test  feature@hole_birth             disabled                       local
oi_iscsi_test  feature@extensible_dataset     disabled                       local
oi_iscsi_test  feature@embedded_data          disabled                       local
oi_iscsi_test  feature@bookmarks              disabled                       local
oi_iscsi_test  feature@filesystem_limits      disabled                       local
oi_iscsi_test  feature@large_blocks           disabled                       local
oi_iscsi_test  feature@large_dnode            disabled                       local
oi_iscsi_test  feature@sha512                 disabled                       local
oi_iscsi_test  feature@skein                  disabled                       local
oi_iscsi_test  feature@edonr                  disabled                       local
oi_iscsi_test  feature@device_removal         disabled                       local
oi_iscsi_test  feature@obsolete_counts        disabled                       local
oi_iscsi_test  feature@zpool_checkpoint       disabled                       local
oi_iscsi_test  feature@spacemap_v2            disabled                       local
oi_iscsi_test  feature@allocation_classes     disabled                       local
oi_iscsi_test  feature@resilver_defer         disabled                       local
oi_iscsi_test  feature@encryption             disabled                       local
oi_iscsi_test  feature@bookmark_v2            disabled                       local
oi_iscsi_test  feature@userobj_accounting     disabled                       local
oi_iscsi_test  feature@project_quota          disabled                       local
oi_iscsi_test  feature@log_spacemap           disabled                       local
